protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
11	A0A087X0X3|M0R2T0|P52272	Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=1|Heterogeneous nuclear ribonucleoprotein M (Fragment) OS=Homo sapiens GN=HNRNPM PE=1 SV=1|Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3	HNRNPM	86914.1|45076.5|86860.0	4.38344	0.0	52	92	3	2	0	3	2	126	843563.0	264393.0	299505.0	356603.0	1.06088e+06	801653.0	1.09581e+06	1.09664e+06	1.05421e+06	968419.0	1.0	0.313424	0.355048	0.422734	1.25762	0.950318	1.29902	1.30001	1.24972	1.14801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	F8VZX2|H3BRU6|Q15366	Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1|Poly(rC)-binding protein 2 (Fragment) OS=Homo sapiens GN=PCBP2 PE=1 SV=1|Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1	PCBP2	37903.4|35816.2|42680.5	5.77607	0.0	74	117	3	1	1	2	1	126	581531.0	142682.0	188010.0	188420.0	608821.0	506526.0	670096.0	718858.0	557017.0	586256.0	1.0	0.245356	0.323301	0.324007	1.04693	0.871021	1.1523	1.23615	0.957846	1.00812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	Q15365	Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2	PCBP1	40911.4	6.03598	0.0	42	81	2	1	1	1	1	126	779195.0	207982.0	500187.0	316328.0	765739.0	668965.0	1.01939e+06	954604.0	878968.0	1.03383e+06	1.0	0.26692	0.641928	0.405968	0.982731	0.858534	1.30827	1.22512	1.12805	1.32679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	P62805	Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2	HIST1H4A	14110.3	6.38244	0.0	61	190	5	4	0	5	4	126	4.91568e+06	549705.0	1.02551e+06	884228.0	5.9451e+06	5.7219e+06	6.10327e+06	6.80435e+06	5.84393e+06	5.94139e+06	1.0	0.111627	0.20697	0.185877	1.21828	1.16293	1.24491	1.38421	1.18883	1.20866	0.0	0.0439778	0.166759	0.308814	0.445996	0.116067	0.287815	0.31629	0.151244	0.0877552
15	Q8NFC6	Biorientation of chromosomes in cell division protein 1-like 1 OS=Homo sapiens GN=BOD1L1 PE=1 SV=2	BOD1L1	395807.0	5.28661	0.0	60	60	3	1	1	2	1	126	1.21682e+06	69988.7	96438.3	60980.1	1.37453e+06	1.26284e+06	1.7224e+06	1.47467e+06	1.13278e+06	1.3409e+06	1.0	0.0575178	0.0792545	0.0501144	1.12961	1.03783	1.4155	1.2119	0.930939	1.10197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	A0A087X0M0|Q7Z5L2	Coiled-coil domain-containing protein R3HCC1L OS=Homo sapiens GN=R3HCC1L PE=1 SV=1|Coiled-coil domain-containing protein R3HCC1L OS=Homo sapiens GN=R3HCC1L PE=1 SV=2	R3HCC1L	99973.7|99745.4	4.93246	0.0	47	47	1	1	0	1	1	126	455976.0	219847.0	127297.0	236510.0	652735.0	474653.0	659777.0	622056.0	486435.0	464854.0	1.0	0.482146	0.279176	0.51869	1.43151	1.04096	1.44696	1.36423	1.0668	1.01947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	D6RAY9|D6RCQ4|D6REL4|E7EQZ7|Q13123	Protein Red (Fragment) OS=Homo sapiens GN=IK PE=1 SV=1|Protein Red (Fragment) OS=Homo sapiens GN=IK PE=1 SV=1|Protein Red (Fragment) OS=Homo sapiens GN=IK PE=1 SV=6|Protein Red (Fragment) OS=Homo sapiens GN=IK PE=1 SV=1|Protein Red OS=Homo sapiens GN=IK PE=1 SV=3	IK	18897.9|14926.9|30185.3|37360.0|80915.7	5.19327	0.0	48	48	1	1	0	1	1	126	93891.2	0.0	6552.81	0.0	192325.0	154281.0	196655.0	114038.0	99086.2	104735.0	1.0	0.0	0.0697915	0.0	2.04838	1.64319	2.0945	1.21457	1.05533	1.11549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	###REV###M0R2R3|###REV###Q9BPX1	Reverse sequence, was 17-beta-hydroxysteroid dehydrogenase 14 OS=Homo sapiens GN=HSD17B14 PE=1 SV=1|Reverse sequence, was 17-beta-hydroxysteroid dehydrogenase 14 OS=Homo sapiens GN=HSD17B14 PE=1 SV=1	###HSD17B14###	27433.6|30362.1	5.98967	0.00265252	23	23	2	1	1	1	1	126	899128.0	1.12535e+06	876046.0	1.07044e+06	757948.0	611930.0	771233.0	823849.0	639612.0	966802.0	1.0	1.2516	0.974329	1.19054	0.842982	0.680582	0.857756	0.916276	0.71137	1.07527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	C9JRJ5|Q9UGP4	LIM domain-containing protein 1 OS=Homo sapiens GN=LIMD1 PE=1 SV=1|LIM domain-containing protein 1 OS=Homo sapiens GN=LIMD1 PE=1 SV=1	LIMD1	72138.8|79248.0	5.04862	0.0	80	114	2	2	0	2	2	126	1.17092e+06	102754.0	195483.0	179895.0	1.14312e+06	1.25947e+06	1.10589e+06	1.62947e+06	1.58685e+06	1.19586e+06	1.0	0.0877546	0.166947	0.153635	0.976253	1.07562	0.944461	1.39161	1.35521	1.0213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2	CNOT1	293809.0	5.2421	0.0	28	52	2	2	0	2	2	126	1.47917e+06	240495.0	256607.0	271117.0	1.90129e+06	1.88755e+06	2.02547e+06	2.66958e+06	2.27154e+06	1.59758e+06	1.0	0.162588	0.173481	0.183291	1.28538	1.27609	1.36933	1.80479	1.53569	1.08005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	Q14677	Clathrin interactor 1 OS=Homo sapiens GN=CLINT1 PE=1 SV=1	CLINT1	77611.5	5.58204	0.0	30	30	1	1	0	1	1	126	566629.0	36177.9	58952.7	43167.8	755387.0	760072.0	728775.0	807768.0	744242.0	606407.0	1.0	0.0638477	0.104041	0.0761835	1.33312	1.34139	1.28616	1.42557	1.31346	1.0702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	E7EX17|P23588	Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=1|Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2	EIF4B	79052.2|78276.8	5.58726	0.0	56	273	7	7	0	7	7	126	2.94391e+06	1.66466e+06	493200.0	284005.0	3.013e+06	2.91697e+06	3.09088e+06	4.62043e+06	3.87333e+06	3.09638e+06	1.0	0.542497	0.168461	0.0957297	1.02347	0.988071	1.05055	1.57058	1.31571	1.05439	0.0	1.4819	0.123069	0.0810143	0.130433	0.139258	0.16228	0.256795	0.203984	0.21822
23	Q9BQG0	Myb-binding protein 1A OS=Homo sapiens GN=MYBBP1A PE=1 SV=2	MYBBP1A	172136.0	4.69979	0.0026178	22	22	1	1	0	1	1	126	0.0	0.0	0.0	0.0	88882.0	102547.0	87852.2	72610.2	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	E9PL57|E9PS38|F8VSA6|NEDD8_HUMAN|Q15843|S4R3E9	NEDD8-MDP1 readthrough (Fragment) OS=Homo sapiens GN=NEDD8-MDP1 PE=4 SV=1|NEDD8-MDP1 readthrough OS=Homo sapiens GN=NEDD8-MDP1 PE=4 SV=2|NEDD8 OS=Homo sapiens GN=NEDD8 PE=4 SV=1||NEDD8 OS=Homo sapiens GN=NEDD8 PE=1 SV=1|NEDD8-MDP1 readthrough OS=Homo sapiens GN=NEDD8-MDP1 PE=4 SV=1	NEDD8|NEDD8_HUMAN	22274.3|9573.62|7696.5|11357.6|11357.6|12186.8	4.85052	0.0	31	31	2	1	0	2	1	126	332112.0	25993.6	84686.2	86752.4	350050.0	255762.0	300039.0	382482.0	365555.0	261649.0	1.0	0.0782675	0.254992	0.261214	1.05401	0.770108	0.903425	1.15166	1.1007	0.787833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	Q9P1Y5	Calmodulin-regulated spectrin-associated protein 3 OS=Homo sapiens GN=CAMSAP3 PE=1 SV=2	CAMSAP3	147958.0	5.40071	0.0	64	64	1	1	0	1	1	126	620301.0	48882.2	58811.4	32509.8	543839.0	465832.0	495457.0	961314.0	715435.0	672233.0	1.0	0.078804	0.0948111	0.0524098	0.876735	0.750977	0.798737	1.54976	1.15337	1.08372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	P30041	Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3	PRDX6	29373.3	5.27743	0.0	34	64	2	2	0	2	2	126	1.2089e+06	207990.0	323440.0	244523.0	2.43024e+06	1.95395e+06	1.87261e+06	1.85845e+06	1.7701e+06	1.29141e+06	1.0	0.172049	0.267549	0.202269	2.01029	1.6163	1.54902	1.53731	1.46422	1.06825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	A0A024R7W5|A0A087WY31|A0A087X0Q1|Q7Z739|Q9BYJ9|Q9Y5A9	YTH domain family, member 3, isoform CRA_a OS=Homo sapiens GN=YTHDF3 PE=1 SV=1|YTH domain-containing family protein 3 OS=Homo sapiens GN=YTHDF3 PE=1 SV=1|YTH domain-containing family protein 3 OS=Homo sapiens GN=YTHDF3 PE=1 SV=1|YTH domain-containing family protein 3 OS=Homo sapiens GN=YTHDF3 PE=1 SV=1|YTH domain-containing family protein 1 OS=Homo sapiens GN=YTHDF1 PE=1 SV=1|YTH domain-containing family protein 2 OS=Homo sapiens GN=YTHDF2 PE=1 SV=2	YTHDF3|YTHDF1|YTHDF2	66066.7|72474.7|72114.7|72300.8|69314.9|70545.5	5.55875	0.0	44	83	2	2	0	2	2	126	771401.0	176475.0	204642.0	162160.0	1.09852e+06	990198.0	1.09731e+06	1.08161e+06	925813.0	834842.0	1.0	0.228772	0.265286	0.210215	1.42406	1.28364	1.42249	1.40214	1.20017	1.08224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	E9PMD7|F8VYE8|F8W0W8|P36873|P62136|P62140	Serine/threonine-protein phosphatase (Fragment) OS=Homo sapiens GN=PPP1CA PE=1 SV=1|Serine/threonine-protein phosphatase OS=Homo sapiens GN=PPP1CC PE=1 SV=1|Serine/threonine-protein phosphatase OS=Homo sapiens GN=PPP1CC PE=1 SV=1|Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens GN=PPP1CC PE=1 SV=1|Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens GN=PPP1CA PE=1 SV=1|Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens GN=PPP1CB PE=1 SV=3	PPP1CA|PPP1CC|PPP1CB	31629.3|38823.1|43496.0|42459.6|42758.6|41745.9	5.24657	0.0	48	48	1	1	0	1	1	126	343281.0	31917.6	85597.8	35624.7	473625.0	460281.0	451010.0	496086.0	455132.0	320526.0	1.0	0.0929782	0.249352	0.103777	1.3797	1.34083	1.31382	1.44513	1.32583	0.933714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	P46060	Ran GTPase-activating protein 1 OS=Homo sapiens GN=RANGAP1 PE=1 SV=1	RANGAP1	72898.0	5.58194	0.0	62	94	2	2	0	2	2	126	767178.0	217849.0	278202.0	269756.0	1.46384e+06	1.32316e+06	1.34472e+06	1.02721e+06	942960.0	828532.0	1.0	0.283962	0.36263	0.351622	1.90809	1.72471	1.75282	1.33895	1.22913	1.07997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	Q8IWI9	MAX gene-associated protein OS=Homo sapiens GN=MGA PE=1 SV=3	MGA	387547.0	5.35622	0.0	46	203	8	5	3	5	4	126	2.53936e+06	186022.0	315185.0	213347.0	4.45386e+06	3.53038e+06	4.7798e+06	3.64888e+06	2.97789e+06	3.18801e+06	1.0	0.0711303	0.123831	0.0819006	1.75191	1.39026	1.88111	1.43693	1.17269	1.25544	0.0	0.106105	0.126632	0.121906	0.168859	0.205118	0.224348	0.217217	0.22628	0.100255
31	A0MZ66	Shootin-1 OS=Homo sapiens GN=SHTN1 PE=1 SV=4	SHTN1	87866.3	4.79296	0.00508906	20	20	1	1	1	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	A0A087WYN9|Q7Z478	ATP-dependent RNA helicase DHX29 OS=Homo sapiens GN=DHX29 PE=1 SV=1|ATP-dependent RNA helicase DHX29 OS=Homo sapiens GN=DHX29 PE=1 SV=2	DHX29	182007.0|181951.0	5.92948	0.0	75	274	7	7	1	6	6	126	4.95131e+06	489539.0	623973.0	547228.0	7.13019e+06	6.16883e+06	6.865e+06	7.22468e+06	5.89518e+06	5.73722e+06	1.0	0.0988706	0.126022	0.110424	1.44306	1.24693	1.38819	1.46072	1.19196	1.15687	0.0	0.12008	0.112462	0.0793757	0.209611	0.317955	0.179431	0.224194	0.202779	0.197552
33	J3KPS2|Q6ZRV2	Protein FAM83H (Fragment) OS=Homo sapiens GN=FAM83H PE=1 SV=1|Protein FAM83H OS=Homo sapiens GN=FAM83H PE=1 SV=3	FAM83H	103724.0|136210.0	4.87862	0.0	56	56	1	1	0	1	1	126	86891.7	0.0	15693.2	0.0	81407.5	74185.5	68412.1	72624.7	75875.6	54359.1	1.0	0.0	0.180607	0.0	0.936884	0.85377	0.787326	0.835807	0.87322	0.625596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	Q9NVM4	Protein arginine N-methyltransferase 7 OS=Homo sapiens GN=PRMT7 PE=1 SV=1	PRMT7	84366.8	5.40342	0.0	80	167	3	3	1	2	2	126	757831.0	128535.0	187185.0	181316.0	804615.0	796122.0	876776.0	997201.0	893841.0	851561.0	1.0	0.169609	0.247002	0.239256	1.06173	1.05053	1.15695	1.31586	1.17947	1.12368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	A0A0A0MRW6|Q9H6R4	Nucleolar protein 6 OS=Homo sapiens GN=NOL6 PE=1 SV=1|Nucleolar protein 6 OS=Homo sapiens GN=NOL6 PE=1 SV=2	NOL6	120337.0|136450.0	5.42953	0.0	58	142	3	3	0	3	3	126	1.31012e+06	161179.0	197884.0	181723.0	3.46506e+06	2.77695e+06	3.07798e+06	2.05684e+06	1.58743e+06	1.45375e+06	1.0	0.123026	0.151043	0.138708	2.64485	2.11962	2.34939	1.56997	1.21168	1.10963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	P22626	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2	HNRNPA2B1	41990.0	5.19285	0.0	52	100	4	2	0	4	2	126	1.98499e+06	145764.0	210970.0	147893.0	1.51388e+06	1.19796e+06	2.36653e+06	1.84747e+06	1.77941e+06	2.08683e+06	1.0	0.0734332	0.106283	0.0745057	0.762666	0.603512	1.19221	0.930721	0.896431	1.0513	0.0	0.199376	0.214258	0.092282	0.173647	0.449135	0.190164	0.274036	1.00874	0.136722
37	A0A087WT30|Q8N5I9	Uncharacterized protein C12orf45 OS=Homo sapiens GN=C12orf45 PE=1 SV=2|Uncharacterized protein C12orf45 OS=Homo sapiens GN=C12orf45 PE=1 SV=2	C12ORF45	26031.3|24006.8	4.27128	0.00519481	21	21	2	1	1	1	1	126	150703.0	22460.4	17710.0	19891.3	179770.0	117478.0	182314.0	165915.0	128773.0	173074.0	1.0	0.149038	0.117516	0.131991	1.19288	0.779532	1.20976	1.10094	0.854482	1.14845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	P17066	Heat shock 70 kDa protein 6 OS=Homo sapiens GN=HSPA6 PE=1 SV=2	HSPA6	80150.7	NA	0.0	96	339	8	1	8	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	P49959	Double-strand break repair protein MRE11 OS=Homo sapiens GN=MRE11 PE=1 SV=3	MRE11	91084.8	5.03311	0.0	45	122	3	3	0	3	3	126	1.0042e+06	88046.0	192338.0	145635.0	1.70856e+06	1.81875e+06	1.67161e+06	1.63971e+06	1.52128e+06	1.08412e+06	1.0	0.0876781	0.191534	0.145026	1.70142	1.81115	1.66463	1.63286	1.51492	1.07959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	P49790	Nuclear pore complex protein Nup153 OS=Homo sapiens GN=NUP153 PE=1 SV=2	NUP153	176301.0	5.76921	0.0	81	282	6	6	0	6	6	126	7.97119e+06	751037.0	1.06041e+06	1.11941e+06	1.06082e+07	9.14193e+06	1.06457e+07	1.18328e+07	9.59484e+06	9.15564e+06	1.0	0.0943904	0.131629	0.140431	1.3351	1.14925	1.33476	1.48386	1.20369	1.14691	0.0	0.0288549	0.0606369	0.034756	0.186038	0.189232	0.164581	0.138013	0.1508	0.131841
41	P49792	E3 SUMO-protein ligase RanBP2 OS=Homo sapiens GN=RANBP2 PE=1 SV=2	RANBP2	420994.0	5.98043	0.0	106	1553	46	18	20	18	14	126	1.56307e+07	1.0589e+06	1.7132e+06	996702.0	1.78873e+07	1.39453e+07	1.9071e+07	2.13853e+07	1.66026e+07	1.84195e+07	1.0	0.0664928	0.108528	0.0646482	1.14429	0.891734	1.21953	1.3686	1.06118	1.17765	0.0	0.0804066	0.140153	0.058173	0.152766	0.170043	0.062232	0.152591	0.147867	0.0752491
42	A0A0C4DGG9|F5GWX5|K7EMY3|Q12873|Q14839|Q8TDI0	Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens GN=CHD4 PE=1 SV=1|Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens GN=CHD4 PE=1 SV=1|Chromodomain-helicase-DNA-binding protein 5 (Fragment) OS=Homo sapiens GN=CHD5 PE=1 SV=1|Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens GN=CHD3 PE=1 SV=3|Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens GN=CHD4 PE=1 SV=2|Chromodomain-helicase-DNA-binding protein 5 OS=Homo sapiens GN=CHD5 PE=1 SV=1	CHD4|CHD5|CHD3	260898.0|257528.0|139237.0|265636.0|258429.0|265075.0	5.18357	0.0	57	56	1	1	0	1	1	126	25458.5	0.0	0.0	0.0	37843.9	35603.8	30442.7	31855.9	0.0	26487.4	1.0	0.0	0.0	0.0	1.4865	1.3985	1.19578	1.25129	0.0	1.04041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	A0A024R4E5|Q00341	High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens GN=HDLBP PE=1 SV=1|Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2	HDLBP	166560.0|166576.0	6.04664	0.0	73	480	21	14	9	12	11	126	1.15948e+07	835974.0	1.30491e+06	1.037e+06	1.52196e+07	1.35018e+07	1.54652e+07	1.8093e+07	1.47844e+07	1.39716e+07	1.0	0.0723287	0.112069	0.0890042	1.31534	1.16642	1.33127	1.55937	1.27231	1.20426	0.0	0.0395632	0.069135	0.0599344	0.126533	0.155726	0.266869	0.172503	0.145509	0.088424
